algo,rtt_setting,bw_setting,run,ss_rtt_ms,ss_rtt_var_ms,ss_cwnd_bytes,ss_pacing_mbps,ip_tp_mbps,ip_mean_rtt_ms
cubic,10,10,2,31.288,21.305,14600,7.47,21.320733339935458,17.832
reno,50,100,1,50.487,0.041,129940,41.2,21.320362371058714,51.295
bbr,50,100,4,50.871,0.248,160600,12.6,21.320638819819838,50.997
cubic,50,500,1,53.509,0.038,129940,23.3,21.30945725048052,52.993
vegas,50,10,4,52.806,0.84,237980,43.3,20.9712410824936,55.33
bbr,100,50,2,102.959,2.243,160600,6.34,16.426991424398366,100.831
bbr,50,50,4,50.435,0.047,154760,12.6,21.320861263231098,51.259
reno,200,10,5,201.19,0.652,65700,3.13,13.976997276115995,202.363
reno,10,10,3,11.191,0.748,16060,13.8,20.970971259585372,18.493
reno,100,10,2,101.081,0.672,129940,20.6,16.776522570400424,102.125
reno,200,10,4,201.19,0.652,65700,3.13,13.980657758604341,202.184
reno,100,50,1,101.784,0.241,128480,20.2,16.776812797265773,101.605
vegas,10,100,4,10.928,0.129,481800,423.0,48.933179667819154,11.926
cubic,50,100,2,67.903,28.643,14600,3.44,21.67011920584988,51.923
vegas,200,50,1,201.271,0.192,1204500,57.5,14.32950359885671,201.186
cubic,200,50,4,201.12,0.168,128480,10.2,13.980169863084928,201.697
vegas,200,100,3,200.615,0.169,1137340,54.4,13.980549179100587,202.337
bbr,10,100,2,12.804,0.445,178120,60.9,46.83604495753098,10.56
reno,10,500,1,16.206,1.0,128480,127.0,48.581954980848145,11.887
cubic,10,50,2,32.412,22.2,14600,7.21,44.0398602330529,11.862
bbr,10,10,2,21.809,2.183,49640,11.8,20.97134943302461,23.015
bbr,50,10,4,52.512,0.462,154760,12.4,20.971048151416593,53.06
reno,200,500,2,203.106,0.042,128480,10.1,13.980510500972313,203.279
vegas,200,500,4,201.798,0.204,1706740,81.2,13.98037256625738,203.081
reno,100,50,2,101.646,0.43,128480,20.2,16.775816337723555,101.877
reno,50,50,5,51.123,0.229,128480,40.2,21.320279224633197,52.456
vegas,200,10,5,201.408,0.605,2201680,105.0,13.980703893753818,202.388
bbr,200,500,4,200.781,0.284,154760,3.17,13.980725796406121,201.334
vegas,10,10,4,13.639,0.564,17520,12.3,20.97110477212551,15.043
bbr,50,500,5,50.546,0.08,160600,12.6,21.320257194492378,50.743
reno,100,500,5,100.754,0.053,128480,20.4,16.776889409886152,102.022
vegas,50,50,4,51.072,0.214,1067260,201.0,21.320812225786334,51.427
reno,50,100,4,52.143,1.257,129940,39.9,21.32049739655024,53.401
reno,10,500,4,10.73,0.186,128480,192.0,41.94284147055037,11.377
bbr,100,100,3,103.288,3.807,151840,6.33,16.42728491272932,101.069
bbr,10,100,3,11.691,1.241,178120,62.6,43.69036665948227,10.763
vegas,100,100,3,101.194,0.534,1005940,95.4,16.427336383778655,102.151
bbr,10,10,4,21.809,2.183,49640,11.8,20.621492877006656,21.852
reno,200,50,1,201.157,0.289,128480,10.2,13.9806591566347,202.52
bbr,50,50,2,50.435,0.047,154760,12.6,21.320466127336875,51.095
reno,200,50,4,201.103,0.51,128480,10.2,13.980924787476345,202.619
vegas,10,50,1,14.54,0.665,294920,195.0,43.834987274073875,12.977
vegas,50,100,1,51.156,0.472,1113980,209.0,21.320574859314775,51.261
cubic,200,10,2,218.638,43.537,14600,1.07,13.980663350727454,204.012
vegas,200,500,3,201.233,1.227,1705280,81.4,13.980561761188445,203.801
cubic,100,500,5,102.808,1.87,128480,12.0,16.776842435641765,101.677
bbr,50,500,2,50.567,0.103,157680,12.6,20.621582235021968,62.461
reno,10,100,5,12.673,0.215,65700,49.8,49.282488823882254,11.656
